service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
DPSWK,1,1,1,1,1,0,0,20230903,20240106
FR,0,0,0,0,1,0,0,20230903,20240106
FR_3430,0,0,0,0,1,0,0,20230912,20231012
MT,1,1,1,1,0,0,0,20230903,20240106
MT_3430,1,1,1,1,0,0,0,20230912,20231012
P_Fri,0,0,0,0,1,0,0,20230903,20240106
SA,0,0,0,0,0,1,0,20230903,20240106
SA_3430,0,0,0,0,0,1,0,20230912,20231012
SU,0,0,0,0,0,0,1,20230903,20240106
SU_3430,0,0,0,0,0,0,1,20230912,20231012
WK,1,1,1,1,1,0,0,20230903,20240106
WK_3430,1,1,1,1,1,0,0,20230912,20231012
